"GeneEnsembl","logFC","logCPM","LR","PValue","regulation","absLogFc","geneId","FDR"
"ENSG00000076928",-2.36455003946542,4.28747524063997,37.9305262465607,7.33091652959428e-10,"down",2.36455003946542,"ARHGEF1","1.79e-08"
"ENSG00000203875",-1.50780766929849,7.24090941937866,37.9131265972798,7.39658961229261e-10,"down",1.50780766929849,"SNHG5","1.80e-08"
"ENSG00000065457",1.53636628932994,3.62644058961493,37.87054513049,7.55980417273715e-10,"up",1.53636628932994,"ADAT1","1.83e-08"
"ENSG00000115541",-1.4549574946371,3.53762158771718,37.8538186170604,7.62489887960037e-10,"ns",1.4549574946371,"HSPE1","1.85e-08"
"ENSG00000047365",-2.95455154558693,4.62238068178081,37.6840631398879,8.31813739990584e-10,"down",2.95455154558693,"ARAP2","2.00e-08"
"ENSG00000152219",-1.76466937696756,3.11962951660923,37.6734209688032,8.36364225814517e-10,"down",1.76466937696756,"ARL14EP","2.01e-08"
"ENSG00000181104",1.09538787052784,4.16140406946322,37.6531450814102,8.45103086541234e-10,"ns",1.09538787052784,"F2R","2.02e-08"
"ENSG00000143401",-1.57074447090053,4.16088109492781,37.5727159344292,8.80677827050435e-10,"down",1.57074447090053,"ANP32E","2.10e-08"
"ENSG00000196611",2.43000394088831,4.57806098015565,37.5577038911894,8.87482015762048e-10,"up",2.43000394088831,"MMP1","2.12e-08"
"ENSG00000112992",1.33646834749161,7.04625587171983,37.5268522458552,9.0163117153109e-10,"ns",1.33646834749161,"NNT","2.15e-08"
"ENSG00000143183",-1.82559495966067,4.69978874655503,37.4585776470885,9.33751385412323e-10,"down",1.82559495966067,"TMCO1","2.22e-08"
"ENSG00000101654",-2.22527386649084,3.82217757118085,37.3208582534407,1.00207102294634e-09,"down",2.22527386649084,"RNMT","2.37e-08"
"ENSG00000221978",-2.32792118667691,3.82711894194556,37.1738424891342,1.08053496954909e-09,"down",2.32792118667691,"CCNL2","2.55e-08"
"ENSG00000115738",-1.36113925456278,5.08249278545056,37.1705583241434,1.08235628508097e-09,"ns",1.36113925456278,"ID2","2.55e-08"
"ENSG00000163386",-1.72115020055484,4.08652199454747,37.1535898822635,1.091815641172e-09,"down",1.72115020055484,"NA","2.56e-08"
"ENSG00000132182",-2.2939039144417,3.71844742810734,37.1497108394418,1.09398967993628e-09,"down",2.2939039144417,"NUP210","2.56e-08"
